Imports_Machinery_TranspEquip
7671.71
8087.12
7954.15
8108.21
8353.97
8139.39
7355.97
6820.78
7946.93
7423.43
8110.64
9030.81
15547.56
8252.75
8378.68
8653.02
9449.07
9076.68
8019.42
7926.74
8794.35
8438.66
9117.39
9316.86
8868.49
9190.64
8741.39
10162.40
10212.71
8363.64
8810.42
8355.27
8396.96
8990.23
9415.85
8350.05
8912.05
8401.30
9196.09
9963.08
9078.83
9391.53
8026.70
7051.68
8254.09
7991.39
7239.45
7521.96
8894.92
8342.81
8360.90
9236.00
11479.76
9930.23
8123.93
8560.18
9636.17
9207.45
9220.01
10248.27
