Oil Production
361
360
335
329
348
337
310
299
291
279
264
280
304
305
292
295
290
268
257
254
269
255
273
271
277
279
253
268
256
243
277
280
283
272
238
271
279
274
290
311
314
315
306
335
319
353
329
362
365
384
375
414
395
391
349
322
381
385
332
353
339
363
341
356
348
344
338
309
374
334
311
251
