gold price
1565.8
1476.99
1614.38
1616.61
1519.17
1469.29
1578.47
1600.85
1704.03
1590.78
1733.71
1723.29
1796.41
1757.37
1746.76
1642.69
1519.17
1469.29
1590.74
1621.63
1588.19
1695.27
1651.15
1708.02
1609.77
1592.09
1659.39
1654.49
1670.98
1671.19
1679.46
1712
1682.86
1725.94
1759.45
1759.45
1691.99
1703.64
1640.82
1670.64
1715.89
1673.35
1729.96
1804.18
1814.05
1848.7
1825.98
1830.52
1907
2015.02
2248.01
2178.93
2240.09
2168.32
2151.89
2163.31
2327.28
2522.87
2645.94
2624.48
2450.01
2562.8
2706.73
2676.26
2642.62
2634.85
2469.87
2394.5
2383.58
2229.44
2285.58
2303.53
